fold,test_bearing_id,feature_policy,model_family,auroc,average_precision,balanced_accuracy,healthy_false_positive_rate,developing_recall,faulty_recall
bearing-06,6,audio,random_forest,1.0,1.0,1.0,0.0,1.0,1.0
bearing-07,7,audio,random_forest,1.0,1.0,1.0,0.0,1.0,1.0
bearing-08,8,audio,random_forest,0.567174515235457,0.8109973637373371,0.6842105263157895,0.0,0.0,0.7368421052631579
bearing-09,9,audio,random_forest,1.0,1.0,0.9473684210526316,0.10526315789473684,1.0,1.0
bearing-10,10,audio,random_forest,1.0,1.0,1.0,0.0,1.0,1.0
bearing-16,16,audio,random_forest,1.0,1.0,1.0,0.0,1.0,1.0
bearing-17,17,audio,random_forest,1.0,1.0,1.0,0.0,1.0,1.0
bearing-18,18,audio,random_forest,1.0,1.0,1.0,0.0,1.0,1.0
bearing-19,19,audio,random_forest,1.0,1.0,1.0,0.0,1.0,1.0
bearing-20,20,audio,random_forest,1.0,1.0,1.0,0.0,1.0,1.0
bearing-01,1,fusion,healthy_reference,1.0,1.0,0.868421052631579,0.0,1.0,0.47368421052631576
bearing-02,2,fusion,healthy_reference,1.0,1.0,1.0,0.0,1.0,1.0
bearing-03,3,fusion,healthy_reference,1.0,1.0,1.0,0.0,1.0,1.0
bearing-04,4,fusion,healthy_reference,1.0,1.0,1.0,0.0,1.0,1.0
bearing-05,5,fusion,healthy_reference,1.0,1.0,1.0,0.0,1.0,1.0
bearing-06,6,fusion,healthy_reference,1.0,1.0,1.0,0.0,1.0,1.0
bearing-07,7,fusion,healthy_reference,1.0,1.0,1.0,0.0,1.0,1.0
bearing-08,8,fusion,healthy_reference,1.0,1.0,0.6973684210526316,0.0,0.0,0.7894736842105263
bearing-09,9,fusion,healthy_reference,1.0,1.0,0.5,1.0,1.0,1.0
bearing-10,10,fusion,healthy_reference,1.0,1.0,1.0,0.0,1.0,1.0
bearing-16,16,fusion,healthy_reference,1.0,1.0,1.0,0.0,1.0,1.0
bearing-17,17,fusion,healthy_reference,1.0,1.0,1.0,0.0,1.0,1.0
bearing-18,18,fusion,healthy_reference,1.0,1.0,1.0,0.0,1.0,1.0
bearing-19,19,fusion,healthy_reference,1.0,1.0,0.75,0.0,1.0,0.0
bearing-20,20,fusion,healthy_reference,1.0,1.0,1.0,0.0,1.0,1.0
bearing-01,1,fusion,isolation_forest,1.0,0.9999999999999999,1.0,0.0,1.0,1.0
bearing-02,2,fusion,isolation_forest,1.0,0.9999999999999999,1.0,0.0,1.0,1.0
bearing-03,3,fusion,isolation_forest,1.0,1.0,1.0,0.0,1.0,1.0
bearing-04,4,fusion,isolation_forest,1.0,1.0,1.0,0.0,1.0,1.0
bearing-05,5,fusion,isolation_forest,1.0,0.9999999999999999,1.0,0.0,1.0,1.0
bearing-06,6,fusion,isolation_forest,1.0,0.9999999999999998,0.9473684210526316,0.10526315789473684,1.0,1.0
bearing-07,7,fusion,isolation_forest,1.0,0.9999999999999999,1.0,0.0,1.0,1.0
bearing-08,8,fusion,isolation_forest,1.0,1.0,0.9605263157894737,0.0,0.8421052631578947,1.0
bearing-09,9,fusion,isolation_forest,1.0,1.0,0.7894736842105263,0.42105263157894735,1.0,1.0
bearing-10,10,fusion,isolation_forest,1.0,0.9999999999999999,1.0,0.0,1.0,1.0
bearing-16,16,fusion,isolation_forest,1.0,0.9999999999999999,0.8421052631578947,0.3157894736842105,1.0,1.0
bearing-17,17,fusion,isolation_forest,1.0,1.0,1.0,0.0,1.0,1.0
bearing-18,18,fusion,isolation_forest,1.0,1.0,1.0,0.0,1.0,1.0
bearing-19,19,fusion,isolation_forest,1.0,1.0,0.7894736842105263,0.0,1.0,0.15789473684210525
bearing-20,20,fusion,isolation_forest,1.0,1.0,1.0,0.0,1.0,1.0
bearing-01,1,fusion,random_forest,1.0,1.0,0.5,1.0,1.0,1.0
bearing-02,2,fusion,random_forest,1.0,1.0,1.0,0.0,1.0,1.0
bearing-03,3,fusion,random_forest,1.0,1.0,1.0,0.0,1.0,1.0
bearing-04,4,fusion,random_forest,1.0,1.0,1.0,0.0,1.0,1.0
bearing-05,5,fusion,random_forest,1.0,1.0,1.0,0.0,1.0,1.0
bearing-06,6,fusion,random_forest,1.0,1.0,1.0,0.0,1.0,1.0
bearing-07,7,fusion,random_forest,1.0,1.0,1.0,0.0,1.0,1.0
bearing-08,8,fusion,random_forest,1.0,0.9999999999999999,0.6973684210526316,0.0,0.0,0.7894736842105263
bearing-09,9,fusion,random_forest,1.0,1.0,0.5789473684210527,0.8421052631578947,1.0,1.0
bearing-10,10,fusion,random_forest,1.0,1.0,1.0,0.0,1.0,1.0
bearing-16,16,fusion,random_forest,1.0,1.0,0.868421052631579,0.2631578947368421,1.0,1.0
bearing-17,17,fusion,random_forest,1.0,1.0,1.0,0.0,1.0,1.0
bearing-18,18,fusion,random_forest,1.0,1.0,1.0,0.0,1.0,1.0
bearing-19,19,fusion,random_forest,1.0,1.0,0.5394736842105263,0.0,0.0,0.15789473684210525
bearing-20,20,fusion,random_forest,1.0,1.0,1.0,0.0,1.0,1.0
