feature_policy,model_family,bearing_folds,auroc_mean,auroc_std,average_precision_mean,average_precision_std,balanced_accuracy_mean,balanced_accuracy_std,healthy_false_positive_rate_mean,healthy_false_positive_rate_std,developing_recall_mean,developing_recall_std,faulty_recall_mean,faulty_recall_std
audio,healthy_reference,15,0.9795937211449677,0.0790331781636047,0.9905344425688539,0.036659946293398735,0.9535087719298245,0.1108555188041347,0.010526315789473684,0.040768245749551756,0.9333333333333333,0.25819888974716115,0.9017543859649123,0.2776937831940797
audio,isolation_forest,15,0.9873499538319482,0.03378830962756755,0.9938468146027523,0.01624557290058394,0.9473684210526316,0.09694584179118516,0.017543859649122806,0.042973504259354,0.9333333333333333,0.23067721454816537,0.8912280701754386,0.2701819482990136
audio,random_forest,15,0.9711449676823638,0.11175505962048177,0.9873998242491558,0.04880027084230611,0.9421052631578948,0.1469246810157199,0.07368421052631578,0.2576875030503692,0.9333333333333333,0.25819888974716115,0.9824561403508771,0.06794707624925292
fusion,healthy_reference,15,1.0,0.0,1.0,0.0,0.9210526315789473,0.15304261480702913,0.06666666666666667,0.25819888974716115,0.9333333333333333,0.25819888974716115,0.8842105263157894,0.28287069315554764
fusion,isolation_forest,15,1.0,0.0,1.0,9.383097129595137e-17,0.9552631578947369,0.07922882160759465,0.05614035087719298,0.13115219014294166,0.9894736842105263,0.04076824574955176,0.943859649122807,0.2174306439976094
fusion,random_forest,15,1.0,0.0,1.0,2.967195843610875e-17,0.8789473684210526,0.1942867181472704,0.14035087719298245,0.3254576800300902,0.8666666666666667,0.3518657752744984,0.9298245614035088,0.2203234183041194
vibration,healthy_reference,15,1.0,0.0,1.0,0.0,0.8710526315789474,0.1854949848231455,0.06666666666666667,0.25819888974716115,0.7368421052631579,0.45187907372381114,0.880701754385965,0.288595158104957
vibration,isolation_forest,15,1.0,0.0,1.0,0.0,0.870175438596491,0.19923097765192127,0.12631578947368421,0.3339395621713923,0.7999999999999999,0.3904276064376326,0.9333333333333333,0.25819888974716115
vibration,random_forest,15,1.0,0.0,1.0,8.392497208503151e-17,0.8964912280701753,0.17937164063379457,0.07368421052631578,0.2576875030503692,0.8105263157894738,0.3937581853220481,0.9228070175438596,0.2266972363907528
